,winner,point_difference,result,name_x,team_seed,win,higher_or_lower_seed,index,year_x,Name,BLKPG,STPG,APG,AST_TO,_3pm,_3pa,_2pm,_2pa,_2p_perc,PTS,FG_perc,_3p_perc,FT_perc,year_y,ORPG,DRPG,RPG,other_team_seed,names_for_merging_sr,index_everything,name_y,SRS_adv,SOS_adv,pace_adv,ORtg_adv,eFG_perc_adv,year_adv,SRS_adv_opponent,SOS_adv_opponent,pace_adv_opponent,ORtg_adv_opponent,eFG_perc_adv_opponent,SRS_adv_subtracted,SOS_adv_subtracted,pace_adv_subtracted,ORtg_adv_subtracted,eFG_perc_adv_subtracted
226,3,11,1,Florida State,3,1,1,100,2012,Florida State,5.94,7.72,11.9,0.73,6.0,17.0,609.0,1211.0,0.503,69.9,0.45399999999999996,0.34700000000000003,0.703,2012,11.8,25.1,36.9,14,Florida State,226,Florida State,14.53,7.62,67.3,102.3,0.512,2012,8.25,2.84,65.0,107.0,0.508,6.279999999999999,4.78,2.299999999999997,-4.700000000000003,0.0040000000000000036
227,3,11,1,St. Bonaventure,14,0,0,101,2012,St. Bonaventure,4.07,5.77,13.8,0.97,5.4,16.0,565.0,1105.0,0.511,70.8,0.46,0.342,0.7559999999999999,2012,11.3,24.2,35.5,3,St. Bonaventure,227,St. Bonaventure,8.25,2.84,65.0,107.0,0.508,2012,14.53,7.62,67.3,102.3,0.512,-6.279999999999999,-4.78,-2.299999999999997,4.700000000000003,-0.0040000000000000036
228,7,3,1,Gonzaga,7,1,1,102,2012,Gonzaga,3.29,6.81,13.7,1.03,6.4,17.0,575.0,1107.0,0.519,74.0,0.473,0.376,0.715,2012,11.0,26.2,37.1,10,Gonzaga,228,Gonzaga,13.86,3.25,66.4,110.7,0.535,2012,12.13,7.53,64.8,106.8,0.483,1.7299999999999986,-4.28,1.6000000000000085,3.9000000000000057,0.052000000000000046
229,7,3,1,West Virginia,10,0,0,103,2012,West Virginia,2.56,6.5,14.6,1.13,5.3,18.0,651.0,1299.0,0.501,71.6,0.441,0.302,0.6709999999999999,2012,15.0,23.4,38.4,7,West Virginia,229,West Virginia,12.13,7.53,64.8,106.8,0.483,2012,13.86,3.25,66.4,110.7,0.535,-1.7299999999999986,4.28,-1.6000000000000085,-3.9000000000000057,-0.052000000000000046
230,2,13,1,Ohio State,2,1,1,104,2012,Ohio State,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,2012,11.7,25.1,36.8,15,Ohio State,230,Ohio State,23.95,9.07,66.9,111.6,0.521,2012,0.37,-2.72,65.3,103.1,0.472,23.58,11.790000000000001,1.6000000000000085,8.5,0.049000000000000044
231,2,13,1,Loyola (MD),15,0,0,105,2012,Loyola (MD),4.41,7.78,12.0,0.89,5.0,15.0,576.0,1251.0,0.46,67.6,0.428,0.34,0.718,2012,13.3,22.1,35.3,2,Loyola (MD),231,Loyola (MD),0.37,-2.72,65.3,103.1,0.472,2012,23.95,9.07,66.9,111.6,0.521,-23.58,-11.790000000000001,-1.6000000000000085,-8.5,-0.049000000000000044
232,1,7,1,Syracuse,1,1,1,106,2012,Syracuse,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,2012,12.7,22.6,35.3,8,Syracuse,232,Syracuse,21.12,8.02,65.2,113.3,0.521,2012,14.47,7.53,67.0,104.8,0.489,6.65,0.4899999999999993,-1.7999999999999972,8.5,0.03200000000000003
233,1,7,1,Kansas State,8,0,0,107,2012,Kansas State,4.81,6.16,14.5,1.0,5.7,17.0,593.0,1223.0,0.485,71.4,0.44299999999999995,0.342,0.6659999999999999,2012,14.2,23.0,37.3,1,Kansas State,233,Kansas State,14.47,7.53,67.0,104.8,0.489,2012,21.12,8.02,65.2,113.3,0.521,-6.65,-0.4899999999999993,1.7999999999999972,-8.5,-0.03200000000000003
234,4,1,1,Vanderbilt,5,0,0,108,2012,Vanderbilt,4.06,5.97,13.0,0.98,8.7,22.0,530.0,1041.0,0.509,73.0,0.46,0.391,0.6990000000000001,2012,10.4,24.0,34.4,4,Vanderbilt,234,Vanderbilt,15.71,8.04,65.5,109.7,0.541,2012,19.04,8.24,58.6,108.4,0.501,-3.3299999999999983,-0.20000000000000107,6.899999999999999,1.2999999999999972,0.040000000000000036
235,4,1,1,Wisconsin,4,1,1,109,2012,Wisconsin,3.48,5.21,11.7,1.3,7.6,21.0,479.0,1027.0,0.466,63.9,0.424,0.361,0.741,2012,9.7,24.1,33.8,5,Wisconsin,235,Wisconsin,19.04,8.24,58.6,108.4,0.501,2012,15.71,8.04,65.5,109.7,0.541,3.3299999999999983,0.20000000000000107,-6.899999999999999,-1.2999999999999972,-0.040000000000000036
236,6,3,2,Cincinnati,6,1,0,110,2012,Cincinnati,4.59,8.12,13.0,1.22,7.1,21.0,609.0,1320.0,0.461,68.5,0.42,0.34299999999999997,0.6409999999999999,2012,13.5,22.7,36.2,3,Cincinnati,236,Cincinnati,12.93,6.28,64.1,104.9,0.48,2012,14.53,7.62,67.3,102.3,0.512,-1.5999999999999996,-1.3399999999999999,-3.200000000000003,2.6000000000000085,-0.03200000000000003
237,6,3,2,Florida State,3,0,1,111,2012,Florida State,5.94,7.72,11.9,0.73,6.0,17.0,609.0,1211.0,0.503,69.9,0.45399999999999996,0.34700000000000003,0.703,2012,11.8,25.1,36.9,6,Florida State,237,Florida State,14.53,7.62,67.3,102.3,0.512,2012,12.93,6.28,64.1,104.9,0.48,1.5999999999999996,1.3399999999999999,3.200000000000003,-2.6000000000000085,0.03200000000000003
238,2,5,1,Gonzaga,7,0,0,112,2012,Gonzaga,3.29,6.81,13.7,1.03,6.4,17.0,575.0,1107.0,0.519,74.0,0.473,0.376,0.715,2012,11.0,26.2,37.1,2,Gonzaga,238,Gonzaga,13.86,3.25,66.4,110.7,0.535,2012,23.95,9.07,66.9,111.6,0.521,-10.09,-5.82,-0.5,-0.8999999999999915,0.014000000000000012
239,2,5,1,Ohio State,2,1,1,113,2012,Ohio State,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,2012,11.7,25.1,36.8,7,Ohio State,239,Ohio State,23.95,9.07,66.9,111.6,0.521,2012,13.86,3.25,66.4,110.7,0.535,10.09,5.82,0.5,0.8999999999999915,-0.014000000000000012
240,1,3,1,Syracuse,1,1,1,114,2012,Syracuse,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,2012,12.7,22.6,35.3,4,Syracuse,240,Syracuse,21.12,8.02,65.2,113.3,0.521,2012,19.04,8.24,58.6,108.4,0.501,2.080000000000002,-0.22000000000000064,6.600000000000001,4.8999999999999915,0.020000000000000018
241,1,3,1,Wisconsin,4,0,0,115,2012,Wisconsin,3.48,5.21,11.7,1.3,7.6,21.0,479.0,1027.0,0.466,63.9,0.424,0.361,0.741,2012,9.7,24.1,33.8,1,Wisconsin,241,Wisconsin,19.04,8.24,58.6,108.4,0.501,2012,21.12,8.02,65.2,113.3,0.521,-2.080000000000002,0.22000000000000064,-6.600000000000001,-4.8999999999999915,-0.020000000000000018
242,2,4,1,Cincinnati,6,0,0,116,2012,Cincinnati,4.59,8.12,13.0,1.22,7.1,21.0,609.0,1320.0,0.461,68.5,0.42,0.34299999999999997,0.6409999999999999,2012,13.5,22.7,36.2,2,Cincinnati,242,Cincinnati,12.93,6.28,64.1,104.9,0.48,2012,23.95,9.07,66.9,111.6,0.521,-11.02,-2.79,-2.8000000000000114,-6.699999999999989,-0.041000000000000036
243,2,4,1,Ohio State,2,1,1,117,2012,Ohio State,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,2012,11.7,25.1,36.8,6,Ohio State,243,Ohio State,23.95,9.07,66.9,111.6,0.521,2012,12.93,6.28,64.1,104.9,0.48,11.02,2.79,2.8000000000000114,6.699999999999989,0.041000000000000036
244,2,1,2,Syracuse,1,0,1,118,2012,Syracuse,7.09,9.61,15.8,1.5,6.4,19.0,698.0,1342.0,0.52,74.6,0.465,0.345,0.691,2012,12.7,22.6,35.3,2,Syracuse,244,Syracuse,21.12,8.02,65.2,113.3,0.521,2012,23.95,9.07,66.9,111.6,0.521,-2.8299999999999983,-1.0500000000000007,-1.7000000000000028,1.7000000000000028,0.0
245,2,1,2,Ohio State,2,1,0,119,2012,Ohio State,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,2012,11.7,25.1,36.8,1,Ohio State,245,Ohio State,23.95,9.07,66.9,111.6,0.521,2012,21.12,8.02,65.2,113.3,0.521,2.8299999999999983,1.0500000000000007,1.7000000000000028,-1.7000000000000028,0.0
246,1,3,1,Kentucky,1,1,1,120,2012,Kentucky,8.79,6.33,13.3,1.16,5.7,15.0,717.0,1363.0,0.526,77.1,0.48700000000000004,0.38,0.723,2012,12.4,26.8,39.2,4,Kentucky,246,Kentucky,24.73,7.93,66.4,116.5,0.538,2012,16.19,9.02,67.0,100.5,0.473,8.54,-1.0899999999999999,-0.5999999999999943,16.0,0.06500000000000006
247,1,3,1,Louisville,4,0,0,121,2012,Louisville,4.86,9.11,13.8,0.94,5.9,19.0,642.0,1334.0,0.48100000000000004,68.8,0.425,0.311,0.6859999999999999,2012,13.1,25.1,38.2,1,Louisville,247,Louisville,16.19,9.02,67.0,100.5,0.473,2012,24.73,7.93,66.4,116.5,0.538,-8.54,1.0899999999999999,0.5999999999999943,-16.0,-0.06500000000000006
248,2,0,0,Ohio State,2,9999,9999,122,2012,Ohio State,2.97,7.33,15.2,1.31,4.9,15.0,752.0,1390.0,0.541,75.1,0.486,0.32899999999999996,0.698,2012,11.7,25.1,36.8,2,Ohio State,248,Ohio State,23.95,9.07,66.9,111.6,0.521,2012,21.72,9.93,67.3,108.8,0.523,2.2300000000000004,-0.8599999999999994,-0.3999999999999915,2.799999999999997,-0.0020000000000000018
249,2,0,0,Kansas,2,9999,9999,123,2012,Kansas,5.64,7.39,15.6,1.18,6.0,17.0,681.0,1259.0,0.541,75.0,0.485,0.358,0.696,2012,11.1,25.8,36.9,2,Kansas,249,Kansas,21.72,9.93,67.3,108.8,0.523,2012,23.95,9.07,66.9,111.6,0.521,-2.2300000000000004,0.8599999999999994,0.3999999999999915,-2.799999999999997,0.0020000000000000018
250,1,1,1,Kentucky,1,1,1,124,2012,Kentucky,8.79,6.33,13.3,1.16,5.7,15.0,717.0,1363.0,0.526,77.1,0.48700000000000004,0.38,0.723,2012,12.4,26.8,39.2,2,Kentucky,250,Kentucky,24.73,7.93,66.4,116.5,0.538,2012,21.72,9.93,67.3,108.8,0.523,3.0100000000000016,-2.0,-0.8999999999999915,7.700000000000003,0.015000000000000013
251,1,1,1,Kansas,2,0,0,125,2012,Kansas,5.64,7.39,15.6,1.18,6.0,17.0,681.0,1259.0,0.541,75.0,0.485,0.358,0.696,2012,11.1,25.8,36.9,1,Kansas,251,Kansas,21.72,9.93,67.3,108.8,0.523,2012,24.73,7.93,66.4,116.5,0.538,-3.0100000000000016,2.0,0.8999999999999915,-7.700000000000003,-0.015000000000000013
252,1,15,1,Indiana,1,1,1,0,2013,Indiana,3.73,7.48,14.5,1.12,7.3,18.0,646.0,1238.0,0.522,80.0,0.486,0.41100000000000003,0.745,2013,12.5,26.2,38.6,16,Indiana,252,Indiana,24.9,8.38,67.1,116.3,0.548,2013,-1.73,-2.28,64.1,100.9,0.476,26.63,10.66,3.0,15.399999999999991,0.07200000000000006
253,1,15,1,James Madison,16,0,0,1,2013,James Madison,4.5,7.88,11.7,1.05,5.7,17.0,571.0,1238.0,0.461,65.2,0.42,0.33299999999999996,0.701,2013,10.0,22.7,32.7,1,James Madison,253,James Madison,-1.73,-2.28,64.1,100.9,0.476,2013,24.9,8.38,67.1,116.3,0.548,-26.63,-10.66,-3.0,-15.399999999999991,-0.07200000000000006
254,9,1,2,NC State,8,0,1,2,2013,NC State,4.26,6.59,14.6,1.18,5.3,13.0,776.0,1477.0,0.525,77.5,0.494,0.39299999999999996,0.6829999999999999,2013,11.4,25.4,36.8,9,North Carolina State,254,North Carolina State,14.32,7.17,68.6,112.4,0.542,2013,9.52,5.2,67.6,106.8,0.49,4.800000000000001,1.9699999999999998,1.0,5.6000000000000085,0.052000000000000046
255,9,1,2,Temple,9,1,0,3,2013,Temple,3.69,8.03,14.9,1.36,7.3,22.0,573.0,1176.0,0.48700000000000004,72.8,0.43,0.33399999999999996,0.725,2013,11.3,23.1,34.5,8,Temple,255,Temple,9.52,5.2,67.6,106.8,0.49,2013,14.32,7.17,68.6,112.4,0.542,-4.800000000000001,-1.9699999999999998,-1.0,-5.6000000000000085,-0.052000000000000046
256,12,7,2,UNLV,5,0,1,4,2013,UNLV,5.79,7.35,16.2,1.16,6.5,20.0,632.0,1274.0,0.496,71.7,0.439,0.33,0.705,2013,11.9,28.2,40.1,12,Nevada-Las Vegas,256,Nevada-Las Vegas,12.92,5.71,68.9,103.2,0.492,2013,10.65,7.77,66.5,100.7,0.48,2.2699999999999996,-2.0599999999999996,2.4000000000000057,2.5,0.01200000000000001
257,12,7,2,California,12,1,0,5,2013,California,4.74,5.77,14.1,1.12,4.0,13.0,660.0,1349.0,0.489,67.5,0.446,0.304,0.725,2013,11.0,26.2,37.2,5,University of California,257,University of California,10.65,7.77,66.5,100.7,0.48,2013,12.92,5.71,68.9,103.2,0.492,-2.2699999999999996,2.0599999999999996,-2.4000000000000057,-2.5,-0.01200000000000001
258,4,9,1,Syracuse,4,1,1,6,2013,Syracuse,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,2013,14.5,24.2,38.7,13,Syracuse,258,Syracuse,20.3,8.57,65.2,107.3,0.49,2013,-1.11,-4.21,63.8,107.5,0.532,21.41,12.780000000000001,1.4000000000000057,-0.20000000000000284,-0.04200000000000004
259,4,9,1,Montana,13,0,0,7,2013,Montana,3.03,5.87,12.9,1.07,6.9,18.0,534.0,1023.0,0.522,71.1,0.474,0.385,0.768,2013,7.6,23.5,31.2,4,Montana,259,Montana,-1.11,-4.21,63.8,107.5,0.532,2013,20.3,8.57,65.2,107.3,0.49,-21.41,-12.780000000000001,-1.4000000000000057,0.20000000000000284,0.04200000000000004
260,6,5,1,Butler,6,1,1,8,2013,Butler,2.44,5.68,13.1,0.98,6.6,19.0,600.0,1173.0,0.512,69.3,0.45299999999999996,0.348,0.6890000000000001,2013,11.7,25.0,36.6,11,Butler,260,Butler,10.99,6.08,64.9,106.4,0.512,2013,6.95,-1.96,62.6,107.0,0.496,4.04,8.04,2.3000000000000043,-0.5999999999999943,0.016000000000000014
261,6,5,1,Bucknell,11,0,0,9,2013,Bucknell,4.09,3.58,13.4,1.42,4.6,13.0,643.0,1323.0,0.486,67.3,0.456,0.36,0.7440000000000001,2013,9.1,27.1,36.2,6,Bucknell,261,Bucknell,6.95,-1.96,62.6,107.0,0.496,2013,10.99,6.08,64.9,106.4,0.512,-4.04,-8.04,-2.3000000000000043,0.5999999999999943,-0.016000000000000014
262,3,11,1,Marquette,3,1,1,10,2013,Marquette,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,2013,11.5,23.5,35.0,14,Marquette,262,Marquette,14.04,8.58,63.4,105.9,0.496,2013,7.27,-3.45,64.8,112.7,0.532,6.77,12.030000000000001,-1.3999999999999986,-6.799999999999997,-0.03600000000000003
263,3,11,1,Davidson,14,0,0,11,2013,Davidson,2.94,5.67,14.0,1.28,7.6,21.0,568.0,1090.0,0.521,73.7,0.46299999999999997,0.369,0.8009999999999999,2013,9.1,24.8,33.8,3,Davidson,263,Davidson,7.27,-3.45,64.8,112.7,0.532,2013,14.04,8.58,63.4,105.9,0.496,-6.77,-12.030000000000001,1.3999999999999986,6.799999999999997,0.03600000000000003
264,7,3,1,Illinois,7,1,1,12,2013,Illinois,3.97,6.91,10.2,0.89,7.8,24.0,554.0,1156.0,0.479,69.1,0.41600000000000004,0.325,0.725,2013,11.8,21.8,33.5,10,Illinois,264,Illinois,13.23,10.08,65.5,104.2,0.479,2013,11.95,7.95,65.7,101.4,0.483,1.2800000000000011,2.13,-0.20000000000000284,2.799999999999997,-0.0040000000000000036
265,7,3,1,Colorado,10,0,0,13,2013,Colorado,3.13,7.03,10.0,0.76,5.4,16.0,585.0,1239.0,0.47200000000000003,68.2,0.436,0.34700000000000003,0.684,2013,11.6,25.6,37.2,7,Colorado,265,Colorado,11.95,7.95,65.7,101.4,0.483,2013,13.23,10.08,65.5,104.2,0.479,-1.2800000000000011,-2.13,0.20000000000000284,-2.799999999999997,0.0040000000000000036
266,2,13,1,Miami (FL),2,1,1,14,2013,Miami,4.59,6.34,11.2,1.02,6.7,19.0,584.0,1133.0,0.515,69.4,0.45799999999999996,0.35100000000000003,0.675,2013,10.0,25.8,35.8,15,Miami (FL),266,Miami (FL),16.99,7.88,64.0,108.5,0.519,2013,1.96,1.05,63.3,105.4,0.509,15.029999999999998,6.83,0.7000000000000028,3.0999999999999943,0.010000000000000009
267,2,13,1,Pacific,15,0,0,15,2013,Pacific,1.32,5.65,14.7,1.33,6.4,17.0,590.0,1221.0,0.483,67.5,0.452,0.38299999999999995,0.6940000000000001,2013,9.5,22.8,32.3,2,Pacific,267,Pacific,1.96,1.05,63.3,105.4,0.509,2013,16.99,7.88,64.0,108.5,0.519,-15.029999999999998,-6.83,-0.7000000000000028,-3.0999999999999943,-0.010000000000000009
268,1,8,1,Indiana,1,1,1,16,2013,Indiana,3.73,7.48,14.5,1.12,7.3,18.0,646.0,1238.0,0.522,80.0,0.486,0.41100000000000003,0.745,2013,12.5,26.2,38.6,9,Indiana,268,Indiana,24.9,8.38,67.1,116.3,0.548,2013,9.52,5.2,67.6,106.8,0.49,15.379999999999999,3.1800000000000006,-0.5,9.5,0.05800000000000005
269,1,8,1,Temple,9,0,0,17,2013,Temple,3.69,8.03,14.9,1.36,7.3,22.0,573.0,1176.0,0.48700000000000004,72.8,0.43,0.33399999999999996,0.725,2013,11.3,23.1,34.5,1,Temple,269,Temple,9.52,5.2,67.6,106.8,0.49,2013,24.9,8.38,67.1,116.3,0.548,-15.379999999999999,-3.1800000000000006,0.5,-9.5,-0.05800000000000005
270,4,8,1,California,12,0,0,18,2013,California,4.74,5.77,14.1,1.12,4.0,13.0,660.0,1349.0,0.489,67.5,0.446,0.304,0.725,2013,11.0,26.2,37.2,4,University of California,270,University of California,10.65,7.77,66.5,100.7,0.48,2013,20.3,8.57,65.2,107.3,0.49,-9.65,-0.8000000000000007,1.2999999999999972,-6.599999999999994,-0.010000000000000009
271,4,8,1,Syracuse,4,1,1,19,2013,Syracuse,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,2013,14.5,24.2,38.7,12,Syracuse,271,Syracuse,20.3,8.57,65.2,107.3,0.49,2013,10.65,7.77,66.5,100.7,0.48,9.65,0.8000000000000007,-1.2999999999999972,6.599999999999994,0.010000000000000009
272,3,3,1,Butler,6,0,0,20,2013,Butler,2.44,5.68,13.1,0.98,6.6,19.0,600.0,1173.0,0.512,69.3,0.45299999999999996,0.348,0.6890000000000001,2013,11.7,25.0,36.6,3,Butler,272,Butler,10.99,6.08,64.9,106.4,0.512,2013,14.04,8.58,63.4,105.9,0.496,-3.049999999999999,-2.5,1.500000000000007,0.5,0.016000000000000014
273,3,3,1,Marquette,3,1,1,21,2013,Marquette,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,2013,11.5,23.5,35.0,6,Marquette,273,Marquette,14.04,8.58,63.4,105.9,0.496,2013,10.99,6.08,64.9,106.4,0.512,3.049999999999999,2.5,-1.500000000000007,-0.5,-0.016000000000000014
274,2,5,1,Illinois,7,0,0,22,2013,Illinois,3.97,6.91,10.2,0.89,7.8,24.0,554.0,1156.0,0.479,69.1,0.41600000000000004,0.325,0.725,2013,11.8,21.8,33.5,2,Illinois,274,Illinois,13.23,10.08,65.5,104.2,0.479,2013,16.99,7.88,64.0,108.5,0.519,-3.759999999999998,2.2,1.5,-4.299999999999997,-0.040000000000000036
275,2,5,1,Miami (FL),2,1,1,23,2013,Miami,4.59,6.34,11.2,1.02,6.7,19.0,584.0,1133.0,0.515,69.4,0.45799999999999996,0.35100000000000003,0.675,2013,10.0,25.8,35.8,7,Miami (FL),275,Miami (FL),16.99,7.88,64.0,108.5,0.519,2013,13.23,10.08,65.5,104.2,0.479,3.759999999999998,-2.2,-1.5,4.299999999999997,0.040000000000000036
276,4,3,2,Indiana,1,0,1,24,2013,Indiana,3.73,7.48,14.5,1.12,7.3,18.0,646.0,1238.0,0.522,80.0,0.486,0.41100000000000003,0.745,2013,12.5,26.2,38.6,4,Indiana,276,Indiana,24.9,8.38,67.1,116.3,0.548,2013,20.3,8.57,65.2,107.3,0.49,4.599999999999998,-0.1899999999999995,1.8999999999999915,9.0,0.05800000000000005
277,4,3,2,Syracuse,4,1,0,25,2013,Syracuse,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,2013,14.5,24.2,38.7,1,Syracuse,277,Syracuse,20.3,8.57,65.2,107.3,0.49,2013,24.9,8.38,67.1,116.3,0.548,-4.599999999999998,0.1899999999999995,-1.8999999999999915,-9.0,-0.05800000000000005
278,3,1,2,Marquette,3,1,0,26,2013,Marquette,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,2013,11.5,23.5,35.0,2,Marquette,278,Marquette,14.04,8.58,63.4,105.9,0.496,2013,16.99,7.88,64.0,108.5,0.519,-2.9499999999999993,0.7000000000000002,-0.6000000000000014,-2.5999999999999943,-0.02300000000000002
279,3,1,2,Miami (FL),2,0,1,27,2013,Miami,4.59,6.34,11.2,1.02,6.7,19.0,584.0,1133.0,0.515,69.4,0.45799999999999996,0.35100000000000003,0.675,2013,10.0,25.8,35.8,3,Miami (FL),279,Miami (FL),16.99,7.88,64.0,108.5,0.519,2013,14.04,8.58,63.4,105.9,0.496,2.9499999999999993,-0.7000000000000002,0.6000000000000014,2.5999999999999943,0.02300000000000002
280,4,1,2,Syracuse,4,1,0,28,2013,Syracuse,6.2,8.89,14.5,1.15,6.1,18.0,687.0,1408.0,0.488,71.3,0.44,0.33399999999999996,0.675,2013,14.5,24.2,38.7,3,Syracuse,280,Syracuse,20.3,8.57,65.2,107.3,0.49,2013,14.04,8.58,63.4,105.9,0.496,6.260000000000002,-0.009999999999999787,1.8000000000000043,1.3999999999999915,-0.006000000000000005
281,4,1,2,Marquette,3,0,1,29,2013,Marquette,3.42,6.74,14.4,1.05,4.3,14.0,628.0,1190.0,0.528,69.0,0.467,0.301,0.723,2013,11.5,23.5,35.0,4,Marquette,281,Marquette,14.04,8.58,63.4,105.9,0.496,2013,20.3,8.57,65.2,107.3,0.49,-6.260000000000002,0.009999999999999787,-1.8000000000000043,-1.3999999999999915,0.006000000000000005
282,1,15,1,Louisville,1,1,1,30,2013,Louisville,4.24,10.74,15.0,1.18,5.8,18.0,681.0,1375.0,0.495,73.6,0.445,0.331,0.711,2013,13.6,23.9,37.5,16,Louisville,282,Louisville,24.81,9.13,66.4,110.3,0.506,2013,-6.94,-6.3,67.1,92.3,0.458,31.75,15.43,-0.6999999999999886,18.0,0.04799999999999999
283,1,15,1,North Carolina A&T,16,0,0,31,2013,North Carolina A&T,4.6,7.06,11.1,0.73,5.7,19.0,531.0,1161.0,0.457,62.2,0.39899999999999997,0.299,0.6579999999999999,2013,10.7,24.7,35.4,1,North Carolina A&T,283,North Carolina A&T,-6.94,-6.3,67.1,92.3,0.458,2013,24.81,9.13,66.4,110.3,0.506,-31.75,-15.43,0.6999999999999886,-18.0,-0.04799999999999999
284,8,1,1,Colorado State,8,1,1,32,2013,Colorado State,2.03,4.88,13.1,1.21,5.1,15.0,669.0,1364.0,0.49,73.1,0.44799999999999995,0.332,0.713,2013,14.4,26.1,40.4,9,Colorado State,284,Colorado State,13.65,5.89,64.6,112.6,0.495,2013,15.41,6.0,68.2,110.7,0.512,-1.7599999999999998,-0.11000000000000032,-3.6000000000000085,1.8999999999999915,-0.017000000000000015
285,8,1,1,Missouri,9,0,0,33,2013,Missouri,3.52,6.76,13.9,1.05,6.3,19.0,692.0,1346.0,0.514,76.2,0.46,0.34,0.7390000000000001,2013,13.7,27.8,41.4,8,Missouri,285,Missouri,15.41,6.0,68.2,110.7,0.512,2013,13.65,5.89,64.6,112.6,0.495,1.7599999999999998,0.11000000000000032,3.6000000000000085,-1.8999999999999915,0.017000000000000015
286,12,7,2,Oklahoma State,5,0,1,34,2013,Oklahoma State,4.75,7.5,12.1,0.97,5.6,18.0,615.0,1239.0,0.496,72.4,0.44,0.316,0.75,2013,10.9,25.5,36.4,12,Oklahoma State,286,Oklahoma State,15.57,6.73,67.3,104.8,0.488,2013,13.82,5.77,68.8,102.4,0.493,1.75,0.9600000000000009,-1.5,2.3999999999999915,-0.0050000000000000044
287,12,7,2,Oregon,12,1,0,35,2013,Oregon,4.0,8.5,13.0,0.87,5.0,16.0,695.0,1407.0,0.494,71.7,0.447,0.32299999999999995,0.71,2013,12.2,25.2,37.4,5,Oregon,287,Oregon,13.82,5.77,68.8,102.4,0.493,2013,15.57,6.73,67.3,104.8,0.488,-1.75,-0.9600000000000009,1.5,-2.3999999999999915,0.0050000000000000044
288,4,9,1,Saint Louis,4,1,1,36,2013,Saint Louis,3.19,7.47,12.9,1.14,6.2,18.0,547.0,1094.0,0.5,68.9,0.447,0.34700000000000003,0.7090000000000001,2013,9.1,23.8,32.8,13,Saint Louis,288,Saint Louis,14.33,4.28,64.5,105.0,0.504,2013,5.11,0.7,65.2,102.5,0.493,9.219999999999999,3.58,-0.7000000000000028,2.5,0.01100000000000001
289,4,9,1,New Mexico State,13,0,0,37,2013,New Mexico State,5.47,5.56,11.5,0.8,4.0,12.0,680.0,1345.0,0.506,68.0,0.461,0.32,0.6559999999999999,2013,12.0,25.6,37.6,4,New Mexico State,289,New Mexico State,5.11,0.7,65.2,102.5,0.493,2013,14.33,4.28,64.5,105.0,0.504,-9.219999999999999,-3.58,0.7000000000000028,-2.5,-0.01100000000000001
290,6,5,1,Memphis,6,1,1,38,2013,Memphis,6.29,8.97,17.2,1.18,6.2,16.0,727.0,1404.0,0.518,75.9,0.479,0.379,0.6659999999999999,2013,12.3,25.5,37.8,11,Memphis,290,Memphis,12.26,2.7,69.5,106.3,0.524,2013,14.51,3.31,64.5,115.2,0.54,-2.25,-0.6099999999999999,5.0,-8.900000000000006,-0.016000000000000014
291,6,5,1,Saint Mary's,11,0,0,39,2013,Saint Mary's,2.97,6.27,14.7,1.22,7.9,21.0,608.0,1136.0,0.535,75.5,0.474,0.375,0.726,2013,12.1,25.0,37.1,6,Saint Mary's (CA),291,Saint Mary's (CA),14.51,3.31,64.5,115.2,0.54,2013,12.26,2.7,69.5,106.3,0.524,2.25,0.6099999999999999,-5.0,8.900000000000006,0.016000000000000014
292,3,11,1,Michigan State,3,1,1,40,2013,Michigan State,3.82,8.09,13.3,0.99,5.0,15.0,646.0,1281.0,0.504,68.2,0.46,0.342,0.7170000000000001,2013,11.5,25.8,37.3,14,Michigan State,292,Michigan State,18.64,10.55,64.7,105.1,0.505,2013,7.15,-1.13,65.1,108.9,0.559,11.49,11.68,-0.3999999999999915,-3.8000000000000114,-0.05400000000000005
